8	3	62	67	82	30	92	30
78	98	53	100	4	34	47	82
20	55	2	48	54	20	76	58
95	61	83	38	40	5	66	26
35	75	45	91	92	88	99	95
18	31	25	26	59	50	97	84
7	25	72	17	76	93	2	53
19	6	26	30	60	21	34	24
73	99	9	67	26	5	41	80
16	85	75	58	17	39	21	14
60	95	64	26	72	25	98	21
52	42	30	88	21	44	20	83
13	59	23	45	40	41	63	41
32	56	18	62	4	92	61	49
89	42	60	2	69	12	39	65
31	21	83	81	46	10	2	64
85	57	49	17	54	73	68	2
79	94	93	3	89	26	73	51
34	20	36	16	16	38	10	82
52	81	45	10	1	23	41	87
6	6	6	6	58	88	54	4
93	67	24	83	15	7	69	38
51	84	38	54	46	73	58	44
98	39	24	72	26	73	86	4
36	30	91	100	96	96	96	96
8	8	8	8	90	90	90	90
48	7	93	93	42	48	100	16
61	92	17	23	71	1	11	88
41	25	18	97	32	32	31	3
83	99	33	94	80	50	89	45
25	49	12	22	83	57	75	65
19	82	11	84	8	17	14	49
88	38	33	52	17	100	53	89
11	26	56	84	5	68	83	6
98	91	94	78	34	4	31	14
94	77	65	2	66	24	60	44
36	18	30	6	89	89	94	14
31	60	26	54	38	68	15	34
93	50	17	28	60	53	25	78
9	67	8	90	88	76	57	51
78	5	8	88	34	40	39	13
67	81	96	69	72	92	51	88
85	66	34	67	68	43	34	54
80	96	89	63	100	90	71	20
48	86	31	39	50	2	53	88
52	4	17	75	87	92	83	59
10	25	85	14	64	19	89	79
2	41	33	76	25	21	37	81
16	56	94	70	3	7	79	8
66	9	82	27	77	98	26	46
95	2	42	53	68	59	34	70
22	2	38	66	72	41	65	28
39	76	6	1	87	76	80	46
95	59	69	2	37	2	34	11
31	77	18	16	3	88	50	62
39	64	67	60	68	38	83	51
15	94	89	60	72	85	55	85
26	63	8	39	58	72	67	62
32	51	17	98	49	7	39	58
32	48	31	21	70	45	19	26
34	50	41	14	88	30	87	82
31	24	72	45	92	45	44	82
97	98	97	77	37	31	97	28
23	4	82	85	100	7	84	88
96	15	82	37	70	59	65	65
16	42	33	95	70	97	15	16
2	2	2	2	27	56	39	80
